Tab,Type of online behaviour,Tab_2,Variable,Technology knowledge and ability level,Gender,Age,Small-to-medium business owner status,2023 adjusted estimates (%),2024 adjusted estimates (%),Statistically significant difference (2023 vs 2024)
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,Male,All ages,All,35.8,32.5,p<.01
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,Female,All ages,All,45.7,41.6,p<.001
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,All persons,18 – 34,All,44.7,38.6,p<.001
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,All persons,35 – 64,All,45.2,41.8,p<.001
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,All persons,65+,All,26.6,25.4,no
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,All persons,All ages,SME owner,42.4,36.3,p<.01
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,All persons,All ages,Not an SME owner,40.6,37.5,p<.001
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,All persons,All ages,All,42.5,39,p<.001
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,Male,All ages,All,18.3,18.1,no
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,Female,All ages,All,13.3,13,no
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,All persons,18 – 34,All,25.2,24,no
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,All persons,35 – 64,All,14,13.8,no
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,All persons,65+,All,7.7,8.1,no
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,All persons,All ages,SME owner,17.5,15.6,no
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,All persons,All ages,Not an SME owner,15.6,15.7,no
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,All persons,All ages,All,18.1,17.9,no
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Used a virtual private network (VPN) when using the internet,,Male,All ages,All,23.4,24.2,no
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Used a virtual private network (VPN) when using the internet,,Female,All ages,All,16.7,14.9,p<.05
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Used a virtual private network (VPN) when using the internet,,All persons,18 – 34,All,19,17.8,no
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Used a virtual private network (VPN) when using the internet,,All persons,35 – 64,All,22.5,21.8,no
