fraud_type,sex,year,persons_000,victimisation_rate_percent
Personal fraud,Male,2014–15,784.7,8.5
Personal fraud,Male,2020–21,1027.1,10.3
Personal fraud,Male,2021–22,1097.0,11.0
Personal fraud,Male,2022–23,1037.6,10.1
Personal fraud,Male,2023–24,1294.8,12.2
Personal fraud,Male,2024–25,1372.3,12.7
Personal fraud,Female,2014–15,808.5,8.5
Personal fraud,Female,2020–21,1119.0,10.8
Personal fraud,Female,2021–22,1102.7,10.6
Personal fraud,Female,2022–23,1274.9,12.0
Personal fraud,Female,2023–24,1525.6,13.9
Personal fraud,Female,2024–25,1509.3,13.5
Personal fraud,Persons,2014–15,1592.4,8.5
Personal fraud,Persons,2020–21,2145.4,10.6
Personal fraud,Persons,2021–22,2199.8,10.8
Personal fraud,Persons,2022–23,2315.7,11.1
Personal fraud,Persons,2023–24,2822.9,13.0
Personal fraud,Persons,2024–25,2879.3,13.1
Personal fraud or online impersonation,Male,2014–15,,
Personal fraud or online impersonation,Male,2020–21,,
Personal fraud or online impersonation,Male,2021–22,1284.8,12.8
Personal fraud or online impersonation,Male,2022–23,1178.6,11.5
Personal fraud or online impersonation,Male,2023–24,1426.4,13.4
Personal fraud or online impersonation,Male,2024–25,1515.2,14.1
Personal fraud or online impersonation,Female,2014–15,,
Personal fraud or online impersonation,Female,2020–21,,
Personal fraud or online impersonation,Female,2021–22,1301.0,12.5
Personal fraud or online impersonation,Female,2022–23,1442.3,13.6
Personal fraud or online impersonation,Female,2023–24,1683.8,15.3
Personal fraud or online impersonation,Female,2024–25,1691.2,15.2
Personal fraud or online impersonation,Persons,2014–15,,
Personal fraud or online impersonation,Persons,2020–21,,
Personal fraud or online impersonation,Persons,2021–22,2588.8,12.7
Personal fraud or online impersonation,Persons,2022–23,2619.3,12.6
Personal fraud or online impersonation,Persons,2023–24,3106.3,14.4
Personal fraud or online impersonation,Persons,2024–25,3210.6,14.6
Card fraud,Male,2014–15,530.1,5.7
Card fraud,Male,2020–21,683.3,6.9
Card fraud,Male,2021–22,837.2,8.4
Card fraud,Male,2022–23,799.0,7.8
Card fraud,Male,2023–24,987.7,9.3
Card fraud,Male,2024–25,1088.1,10.1
Card fraud,Female,2014–15,567.7,6.0
Card fraud,Female,2020–21,722.3,7.0
Card fraud,Female,2021–22,814.8,7.8
Card fraud,Female,2022–23,1005.7,9.5
Card fraud,Female,2023–24,1161.1,10.5
Card fraud,Female,2024–25,1192.2,10.7
Card fraud,Persons,2014–15,1101.1,5.9
Card fraud,Persons,2020–21,1406.9,6.9
Card fraud,Persons,2021–22,1653.4,8.1
Card fraud,Persons,2022–23,1807.2,8.7
Card fraud,Persons,2023–24,2148.8,9.9
Card fraud,Persons,2024–25,2280.3,10.4
Scams,Male,2014–15,234.4,2.5
Scams,Male,2020–21,326.5,3.3
Scams,Male,2021–22,268.4,2.7
Scams,Male,2022–23,232.5,2.3
Scams,Male,2023–24,287.0,2.7
Scams,Male,2024–25,278.3,2.6
Scams,Female,2014–15,214.8,2.3
Scams,Female,2020–21,392.3,3.8
Scams,Female,2021–22,282.1,2.7
Scams,Female,2022–23,278.2,2.6
Scams,Female,2023–24,390.6,3.5
Scams,Female,2024–25,320.6,2.9
Scams,Persons,2014–15,449.1,2.4
Scams,Persons,2020–21,723.1,3.6
Scams,Persons,2021–22,552.0,2.7
Scams,Persons,2022–23,514.3,2.5
Scams,Persons,2023–24,675.3,3.1
Scams,Persons,2024–25,596.6,2.7
Identity theft,Male,2014–15,60.5,0.7
Identity theft,Male,2020–21,80.8,0.8
Identity theft,Male,2021–22,84.5,0.8
Identity theft,Male,2022–23,96.3,0.9
Identity theft,Male,2023–24,141.7,1.3
Identity theft,Male,2024–25,101.9,0.9
Identity theft,Female,2014–15,66.1,0.7
Identity theft,Female,2020–21,76.0,0.7
Identity theft,Female,2021–22,73.5,0.7
Identity theft,Female,2022–23,101.2,1.0
Identity theft,Female,2023–24,112.0,1.0
Identity theft,Female,2024–25,116.3,1.0
Identity theft,Persons,2014–15,126.3,0.7
Identity theft,Persons,2020–21,154.3,0.8
Identity theft,Persons,2021–22,159.6,0.8
Identity theft,Persons,2022–23,199.1,1.0
Identity theft,Persons,2023–24,255.1,1.2
Identity theft,Persons,2024–25,220.4,1.0
Online impersonation,Male,2014–15,,
Online impersonation,Male,2020–21,,
Online impersonation,Male,2021–22,252.9,2.5
Online impersonation,Male,2022–23,193.8,1.9
Online impersonation,Male,2023–24,191.5,1.8
Online impersonation,Male,2024–25,213.9,2.0
Online impersonation,Female,2014–15,,
Online impersonation,Female,2020–21,,
Online impersonation,Female,2021–22,256.2,2.5
Online impersonation,Female,2022–23,238.2,2.2
Online impersonation,Female,2023–24,237.5,2.2
Online impersonation,Female,2024–25,281.1,2.5
Online impersonation,Persons,2014–15,,
Online impersonation,Persons,2020–21,,
Online impersonation,Persons,2021–22,509.5,2.5
Online impersonation,Persons,2022–23,434.3,2.1
Online impersonation,Persons,2023–24,433.0,2.0
Online impersonation,Persons,2024–25,500.0,2.3
