fraud_type,sex,year,persons_000,victimisation_rate_percent
Personal fraud,Persons,2014–15,1592.4,8.5
Personal fraud,Persons,2020–21,2145.4,10.6
Personal fraud,Persons,2021–22,2199.8,10.8
Personal fraud,Persons,2022–23,2315.7,11.1
Personal fraud,Persons,2023–24,2822.9,13.0
Personal fraud,Persons,2024–25,2879.3,13.1
Personal fraud or online impersonation,Persons,2014–15,,
Personal fraud or online impersonation,Persons,2020–21,,
Personal fraud or online impersonation,Persons,2021–22,2588.8,12.7
Personal fraud or online impersonation,Persons,2022–23,2619.3,12.6
Personal fraud or online impersonation,Persons,2023–24,3106.3,14.4
Personal fraud or online impersonation,Persons,2024–25,3210.6,14.6
Card fraud,Persons,2014–15,1101.1,5.9
Card fraud,Persons,2020–21,1406.9,6.9
Card fraud,Persons,2021–22,1653.4,8.1
Card fraud,Persons,2022–23,1807.2,8.7
Card fraud,Persons,2023–24,2148.8,9.9
Card fraud,Persons,2024–25,2280.3,10.4
Scams,Persons,2014–15,449.1,2.4
Scams,Persons,2020–21,723.1,3.6
Scams,Persons,2021–22,552.0,2.7
Scams,Persons,2022–23,514.3,2.5
Scams,Persons,2023–24,675.3,3.1
Scams,Persons,2024–25,596.6,2.7
Identity theft,Persons,2014–15,126.3,0.7
Identity theft,Persons,2020–21,154.3,0.8
Identity theft,Persons,2021–22,159.6,0.8
Identity theft,Persons,2022–23,199.1,1.0
Identity theft,Persons,2023–24,255.1,1.2
Identity theft,Persons,2024–25,220.4,1.0
Online impersonation,Persons,2014–15,,
Online impersonation,Persons,2020–21,,
Online impersonation,Persons,2021–22,509.5,2.5
Online impersonation,Persons,2022–23,434.3,2.1
Online impersonation,Persons,2023–24,433.0,2.0
Online impersonation,Persons,2024–25,500.0,2.3
