Tab,Type of online behaviour,Type of help-seeking,Gender,Age,Small-to-medium business owner status,Prevalence in 2024,2023 adjusted estimates (%),2024 adjusted estimates (%),Statistically significant difference (2023 vs 2024)
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Any help-seeking,Male,All ages,All,69.1,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Any help-seeking,Female,All ages,All,76.3,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Any help-seeking,All persons,18 – 34,All,79.3,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Any help-seeking,All persons,35 – 64,All,69.5,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Any help-seeking,All persons,65+,All,65,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Any help-seeking,All persons,All ages,SME owner,79.9,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Any help-seeking,All persons,All ages,Not an SME owner,70.7,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Any help-seeking,All persons,All ages,All,72.5,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,Male,All ages,All,64.6,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,Female,All ages,All,64.5,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,All persons,18 – 34,All,72.8,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,All persons,35 – 64,All,58.4,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,All persons,65+,All,63.8,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,All persons,All ages,SME owner,75.9,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,All persons,All ages,Not an SME owner,61.6,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,All persons,All ages,All,64.7,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,Male,All ages,All,84.3,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,Female,All ages,All,84.5,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,All persons,18 – 34,All,85.6,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,All persons,35 – 64,All,84,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,All persons,65+,All,83.3,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,All persons,All ages,SME owner,89.9,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,All persons,All ages,Not an SME owner,82.8,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,All persons,All ages,All,84.4,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,Male,All ages,All,82,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,Female,All ages,All,84.5,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,All persons,18 – 34,All,87.1,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,All persons,35 – 64,All,81.2,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,All persons,65+,All,79.1,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,All persons,All ages,SME owner,91.5,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,All persons,All ages,Not an SME owner,80.4,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,All persons,All ages,All,83.3,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from formal source,Male,All ages,All,48.7,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from formal source,Female,All ages,All,51.5,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from formal source,All persons,18 – 34,All,51.6,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from formal source,All persons,35 – 64,All,50.4,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from formal source,All persons,65+,All,45.2,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from formal source,All persons,All ages,SME owner,59.1,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from formal source,All persons,All ages,Not an SME owner,47.6,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from formal source,All persons,All ages,All,50,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,Male,All ages,All,46.6,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,Female,All ages,All,37.4,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,All persons,18 – 34,All,48.8,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,All persons,35 – 64,All,38.2,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,All persons,65+,All,39.9,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,All persons,All ages,SME owner,55.5,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,All persons,All ages,Not an SME owner,38.7,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,All persons,All ages,All,42.5,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,Male,All ages,All,69.5,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,Female,All ages,All,72.3,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,All persons,18 – 34,All,66,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,All persons,35 – 64,All,72.3,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,All persons,65+,All,75.7,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,All persons,All ages,SME owner,73.7,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,All persons,All ages,Not an SME owner,70,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,All persons,All ages,All,70.9,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,Male,All ages,All,65.6,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,Female,All ages,All,67.1,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,All persons,18 – 34,All,69,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,All persons,35 – 64,All,64.5,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,All persons,65+,All,64.9,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,All persons,All ages,SME owner,70.1,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,All persons,All ages,Not an SME owner,65.2,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,All persons,All ages,All,66.5,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from police or ReportCyber,Male,All ages,All,18.5,18.4,16.1,no
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from police or ReportCyber,Female,All ages,All,16.3,16.3,13.6,no
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from police or ReportCyber,All persons,18 – 34,All,20.7,20.7,19.6,no
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from police or ReportCyber,All persons,35 – 64,All,17.7,17.5,13.2,p<.01
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from police or ReportCyber,All persons,65+,All,9.1,8.9,10.1,no
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from police or ReportCyber,All persons,All ages,SME owner,23.7,23.8,17.7,p<.05
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from police or ReportCyber,All persons,All ages,Not an SME owner,15.8,15.7,14.4,no
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Help-seeking from police or ReportCyber,All persons,All ages,All,17.4,17.3,14.9,p<.05
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,Male,All ages,All,17.5,17.7,10.4,p<.001
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,Female,All ages,All,7.9,8.1,4.9,p<.01
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,All persons,18 – 34,All,16.3,16.3,10.1,p<.001
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,All persons,35 – 64,All,13.2,13.4,6.6,p<.001
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,All persons,65+,All,5.4,5.7,5.8,no
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,All persons,All ages,SME owner,22.3,22.4,13,p<.001
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,All persons,All ages,Not an SME owner,10.8,11,6.5,p<.001
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,All persons,All ages,All,13.1,13.3,7.7,p<.001
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,Male,All ages,All,18.1,18.3,16.4,no
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,Female,All ages,All,12.7,12.8,11.1,no
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,All persons,18 – 34,All,20,20,18.4,no
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,All persons,35 – 64,All,16.1,16.3,11.5,p<.01
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,All persons,65+,All,7.1,7.2,10.9,no
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,All persons,All ages,SME owner,24,24.6,18.1,p<.05
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,All persons,All ages,Not an SME owner,13.3,13.3,12.8,no
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,All persons,All ages,All,15.5,15.7,13.7,no
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,Male,All ages,All,23.9,26.3,25.3,no
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,Female,All ages,All,17.2,16.7,16.5,no
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,All persons,18 – 34,All,21.7,22.9,30.3,no
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,All persons,35 – 64,All,23.1,23.4,14.5,p<.01
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,All persons,65+,All,13.8,15.3,17.5,no
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,All persons,All ages,SME owner,27.8,30.5,27.4,no
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,All persons,All ages,Not an SME owner,18.8,19.1,20.1,no
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,All persons,All ages,All,20.7,21.8,21.7,no
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Official report to police or ReportCyber,Male,All ages,All,11.7,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Official report to police or ReportCyber,Female,All ages,All,8.8,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Official report to police or ReportCyber,All persons,18 – 34,All,13.1,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Official report to police or ReportCyber,All persons,35 – 64,All,10.1,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Official report to police or ReportCyber,All persons,65+,All,4.5,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Official report to police or ReportCyber,All persons,All ages,SME owner,16.2,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment,Official report to police or ReportCyber,All persons,All ages,Not an SME owner,8.8,,,
