fraud_type,state,state_abbrev,reported_to_authority_000,experienced_total_000,all_persons_000,reporting_rate_percent,victimisation_rate_percent
Card fraud,New South Wales,NSW,687.0,698.4,6895.4,98.4,10.1
Card fraud,Victoria,VIC,584.0,603.4,5675.2,96.8,10.6
Card fraud,Queensland,QLD,453.0,471.3,4443.8,96.1,10.6
Card fraud,South Australia,SA,118.7,121.9,1531.4,97.4,8.0
Card fraud,Western Australia,WA,285.6,287.8,2358.6,99.2,12.2
Card fraud,Tasmania,TAS,40.5,40.9,469.7,99.0,8.7
Card fraud,Northern Territory,NT,17.5,17.6,159.6,99.4,11.0
Card fraud,Australian Capital Territory,ACT,44.6,44.6,381.0,100.0,11.7
Card fraud,Australia,AUS,2225.2,2280.3,21926.7,97.6,10.4
Scams,New South Wales,NSW,124.9,183.3,6895.4,68.1,2.7
Scams,Victoria,VIC,100.3,144.0,5675.2,69.7,2.5
Scams,Queensland,QLD,97.5,137.9,4443.8,70.7,3.1
Scams,South Australia,SA,26.8,39.1,1531.4,68.5,2.6
Scams,Western Australia,WA,54.6,68.4,2358.6,79.8,2.9
Scams,Tasmania,TAS,8.4,12.0,469.7,70.0,2.6
Scams,Northern Territory,NT,2.7,4.2,159.6,64.3,2.6
Scams,Australian Capital Territory,ACT,8.3,9.3,381.0,89.2,2.4
Scams,Australia,AUS,424.4,596.6,21926.7,71.1,2.7
Identity theft,New South Wales,NSW,65.2,72.1,6895.4,90.4,1.0
Identity theft,Victoria,VIC,49.5,56.3,5675.2,87.9,1.0
Identity theft,Queensland,QLD,32.2,39.8,4443.8,80.9,0.9
Identity theft,South Australia,SA,11.8,13.4,1531.4,88.1,0.9
Identity theft,Western Australia,WA,12.5,16.0,2358.6,78.1,0.7
Identity theft,Tasmania,TAS,2.4,3.3,469.7,72.7,0.7
Identity theft,Northern Territory,NT,1.2,1.8,159.6,66.7,1.1
Identity theft,Australian Capital Territory,ACT,2.3,5.0,381.0,46.0,1.3
Identity theft,Australia,AUS,179.1,220.4,21926.7,81.3,1.0
Online impersonation,New South Wales,NSW,,146.0,6895.4,,2.1
Online impersonation,Victoria,VIC,,118.8,5675.2,,2.1
Online impersonation,Queensland,QLD,,123.5,4443.8,,2.8
Online impersonation,South Australia,SA,,40.1,1531.4,,2.6
Online impersonation,Western Australia,WA,,60.2,2358.6,,2.6
Online impersonation,Tasmania,TAS,,6.5,469.7,,1.4
Online impersonation,Northern Territory,NT,,3.9,159.6,,2.4
Online impersonation,Australian Capital Territory,ACT,,9.5,381.0,,2.5
Online impersonation,Australia,AUS,,500.0,21926.7,,2.3
