cybercrime_type,help_seeking_type,prevalence_2024_percent,adjusted_estimate_2023_percent,adjusted_estimate_2024_percent,significant_difference_2023_2024
Online abuse and harassment,Any help-seeking,72.5,,,
Malware,Any help-seeking,64.7,,,
Identity crime and misuse,Any help-seeking,84.4,,,
Fraud and scams,Any help-seeking,83.3,,,
Online abuse and harassment,Help-seeking from formal source,50,,,
Malware,Help-seeking from formal source,42.5,,,
Identity crime and misuse,Help-seeking from formal source,70.9,,,
Fraud and scams,Help-seeking from formal source,66.5,,,
Online abuse and harassment,Help-seeking from police or ReportCyber,17.4,17.3,14.9,p<.05
Malware,Help-seeking from police or ReportCyber,13.1,13.3,7.7,p<.001
Identity crime and misuse,Help-seeking from police or ReportCyber,15.5,15.7,13.7,no
Fraud and scams,Help-seeking from police or ReportCyber,20.7,21.8,21.7,no
Online abuse and harassment,Official report to police or ReportCyber,10.3,,,
Malware,Official report to police or ReportCyber,9.5,,,
Identity crime and misuse,Official report to police or ReportCyber,10.3,,,
Fraud and scams,Official report to police or ReportCyber,12.5,,,
