age_group,age_group_sort,scam_type,amount_lost,reports,average_loss_per_report
Under 18,1,Betting and sports investment scams,1310.0,4,327.5
Under 18,1,Dating and romance scams,6395.0,25,255.8
Under 18,1,False billing,20440.06,57,358.597544
Under 18,1,Identity theft,14164.16,134,105.702687
Under 18,1,Investment scams,47659.79,30,1588.659667
Under 18,1,Jobs and employment scams,33891.64,51,664.541961
Under 18,1,Phishing,31628.07,189,167.344286
Under 18,1,Rebate scams,0.0,3,0.0
Under 18,1,Remote access scams,313.42,12,26.118333
Under 18,1,Shopping scams,69237.25,233,297.155579
Under 18,1,"Threats to life, arrest or other",16853.04,62,271.823226
Under 18,1,inheritance and unexpected money,10200.0,13,784.615385
65 and over,7,Betting and sports investment scams,19628.0,45,436.177778
65 and over,7,Dating and romance scams,6767805.06,428,15812.628645
65 and over,7,False billing,1191026.0,2734,435.634967
65 and over,7,Identity theft,684988.19,3529,194.102632
65 and over,7,Investment scams,37404195.44,716,52240.496425
65 and over,7,Jobs and employment scams,599110.26,213,2812.724225
65 and over,7,Phishing,11765779.82,14519,810.371225
65 and over,7,Rebate scams,2011951.85,356,5651.55014
65 and over,7,Remote access scams,2303853.97,878,2623.979465
65 and over,7,Shopping scams,668033.7,1849,361.294592
65 and over,7,"Threats to life, arrest or other",456207.99,676,674.863891
65 and over,7,inheritance and unexpected money,1220113.24,379,3219.296148
55 - 64,98,Betting and sports investment scams,62521.42,32,1953.794375
45 - 54,98,Betting and sports investment scams,200212.68,38,5268.754737
35 - 44,98,Betting and sports investment scams,564888.42,101,5592.954653
25 - 34,98,Betting and sports investment scams,420318.19,78,5388.694744
18 - 24,98,Betting and sports investment scams,185100.75,37,5002.722973
55 - 64,98,Dating and romance scams,5842212.19,258,22644.233295
45 - 54,98,Dating and romance scams,4036318.47,267,15117.29764
35 - 44,98,Dating and romance scams,1476734.68,318,4643.819748
25 - 34,98,Dating and romance scams,995497.62,244,4079.908279
18 - 24,98,Dating and romance scams,1336991.01,179,7469.22352
55 - 64,98,False billing,966881.0,1250,773.5048
